C,Si,Mn,P,S,Ni,Mo,Cr,W,Cu,变形温度T,变形程度,变形速率,淬火温度,淬透性
0.87,0.11,0.48,0.7,0.48,0.09,0.03,0.33,0.83,0.22,747,0.5,6.67,1033,0
0.84,0.39,0.39,0.65,0.04,0.93,0.42,0.13,0.0,0.69,982,0.3,4.24,886,-1
0.18,0.24,0.65,0.12,0.26,0.95,0.92,0.3,0.99,0.9,781,0.5,4.84,868,0
0.27,0.79,0.63,0.13,0.39,0.58,0.98,0.83,0.93,0.88,883,0.4,5.85,831,-1
0.58,0.83,0.94,0.17,0.46,0.18,0.6,0.01,0.64,0.43,866,0.5,3.74,884,-1
0.16,0.79,0.54,0.4,0.19,0.85,0.98,0.94,0.65,0.39,961,0.4,5.95,1070,1
0.08,0.78,0.07,0.54,0.11,0.17,0.74,0.04,0.65,0.84,704,0.4,3.73,851,-1
0.13,0.64,0.22,0.2,0.15,0.37,0.62,0.21,0.89,0.09,743,0.3,6.21,1075,1
0.02,0.33,0.17,0.07,0.87,0.35,0.41,0.03,0.42,0.95,925,0.4,6.87,1076,1
0.21,0.63,0.87,0.06,0.37,0.14,0.79,0.24,0.5,0.97,818,0.5,3.32,1012,-1
0.22,0.62,0.29,0.67,0.63,0.4,0.64,0.84,0.17,0.23,707,0.6,5.75,1023,0
0.26,0.26,0.01,0.24,0.33,0.02,0.62,0.73,0.51,0.89,706,0.6,5.99,996,0
0.72,0.53,0.97,0.5,0.92,0.92,0.25,0.37,0.16,0.23,742,0.5,6.43,1048,0
0.79,0.34,0.52,0.45,0.01,0.45,0.74,0.18,0.68,0.88,902,0.4,6.95,1043,0
0.92,1.0,0.77,0.79,0.75,0.6,0.97,0.17,0.06,0.3,886,0.3,4.36,809,0
0.32,0.2,0.19,0.05,0.21,0.12,0.52,0.94,0.61,0.14,886,0.4,6.7,1077,1
0.93,0.46,0.2,0.45,0.73,0.64,0.05,0.17,0.85,0.48,875,0.6,4.07,1094,-1
0.55,0.45,0.91,0.1,0.28,0.3,0.26,0.34,0.05,0.38,980,0.4,3.97,833,-1
0.99,0.35,0.84,0.3,0.12,0.36,0.96,0.64,0.34,0.06,914,0.4,4.27,895,-1
0.88,0.13,0.33,0.78,0.67,0.34,0.19,0.86,0.89,0.24,782,0.6,6.85,967,1
0.63,0.6,0.14,0.88,0.63,0.69,0.44,0.87,0.04,0.74,725,0.5,5.83,976,0
0.45,0.88,0.68,0.38,0.41,0.36,0.95,0.81,0.94,0.87,958,0.3,6.31,983,-1
0.75,0.16,0.8,0.96,0.53,0.09,0.5,0.76,0.83,0.98,899,0.6,5.9,982,-1
0.81,0.41,0.67,0.58,0.87,0.66,0.55,0.18,0.46,0.3,907,0.6,5.01,1037,-1
0.16,0.53,0.67,0.06,0.88,0.12,0.05,0.42,0.65,0.2,871,0.3,5.16,910,-1
0.53,0.53,0.93,0.42,0.38,0.89,0.41,0.45,0.08,0.89,852,0.5,4.51,1100,-1
0.86,0.58,0.39,0.88,0.97,0.72,0.86,0.91,0.23,0.44,773,0.3,4.17,1028,0
0.03,0.9,0.11,0.67,0.08,0.06,0.77,0.2,0.62,0.66,981,0.5,3.51,1100,-1
0.93,0.8,0.55,0.14,0.65,0.55,0.48,0.51,0.71,0.2,980,0.5,6.54,921,-1
0.2,0.27,1.0,0.07,0.66,0.26,0.64,0.01,0.23,0.04,903,0.5,4.4,949,1
0.08,0.26,0.95,0.7,0.81,0.31,0.56,0.66,0.62,0.88,899,0.6,3.63,826,-1
0.53,0.89,0.35,0.63,0.85,0.91,0.88,0.82,0.15,0.42,990,0.4,6.76,827,1
0.06,0.66,0.2,0.48,0.45,0.27,0.64,0.44,0.26,0.42,895,0.6,4.3,1099,1
0.59,0.57,0.38,0.22,0.39,0.23,0.18,0.97,0.05,0.17,996,0.6,4.32,1036,1
0.18,0.13,0.6,0.6,0.84,0.01,0.01,0.02,0.78,0.21,704,0.4,3.77,1027,0
0.67,0.65,0.44,0.89,0.88,0.5,0.47,0.81,0.68,0.78,741,0.4,6.75,850,0
0.81,0.94,0.66,0.75,0.39,0.64,0.57,0.93,0.75,0.9,829,0.5,4.59,927,-1
0.43,0.91,0.47,0.16,0.42,0.03,0.69,0.72,0.11,0.98,980,0.3,6.45,816,1
0.88,0.94,0.44,0.54,0.7,0.3,0.73,0.54,0.79,0.84,795,0.6,6.64,817,1
0.66,0.09,0.03,0.95,0.38,0.01,0.29,0.7,0.45,0.4,777,0.4,5.7,951,-1
0.92,0.83,0.57,0.51,0.41,0.21,0.25,0.71,0.65,0.17,702,0.3,4.53,931,1
0.94,0.41,0.2,0.98,0.93,0.94,0.11,0.07,0.41,0.61,833,0.5,5.71,1087,-1
0.22,0.85,0.58,0.45,0.36,0.71,0.97,0.49,0.61,0.49,990,0.6,3.29,854,1
0.8,0.11,0.14,0.71,0.17,0.01,0.52,0.52,0.49,0.87,791,0.3,3.41,960,0
0.48,0.94,0.45,0.4,0.18,0.33,0.19,0.53,0.01,0.13,912,0.4,4.94,961,-1
0.73,0.97,0.96,0.65,0.29,0.51,0.68,0.97,0.45,0.07,982,0.4,4.81,914,1
0.95,0.22,0.03,0.55,0.98,0.55,0.38,0.37,0.99,0.7,859,0.6,3.84,810,1
0.1,0.1,0.68,0.45,0.73,0.64,0.07,0.91,0.1,0.52,985,0.5,5.26,1026,0
0.68,0.01,0.14,0.08,0.28,0.82,0.14,0.82,0.85,0.55,751,0.6,3.93,1018,-1
0.45,0.15,0.17,0.79,0.24,0.41,0.18,0.8,0.59,0.3,844,0.4,6.67,1028,0
