C,Si,Mn,P,S,Ni,Mo,Cr,W,Cu,变形温度T,变形程度,变形速率,淬火温度,淬透性
0.67,0.0,0.17,0.83,0.54,0.39,0.15,0.18,0.83,0.73,982,0.5,4.2,1094,1.0
0.04,0.41,0.71,0.5,0.81,0.23,0.57,0.45,0.16,0.7,791,0.4,5.78,854,1.0
0.78,0.79,0.69,0.61,0.92,0.79,0.49,0.99,0.34,0.37,951,0.6,6.25,936,1.0
0.51,0.67,0.44,0.6,0.48,0.78,0.44,0.34,0.09,0.84,929,0.3,5.05,942,0.11
0.43,0.1,0.43,0.51,0.64,0.27,0.58,0.2,0.5,0.42,985,0.6,4.35,1019,1.0
0.21,0.27,0.2,0.73,0.15,0.54,0.24,0.73,0.76,0.91,714,0.3,5.59,1063,1.0
0.34,0.99,0.2,0.74,0.5,0.35,0.79,0.59,0.93,0.27,795,0.5,6.24,937,0.11
0.15,0.1,0.23,0.25,0.66,0.51,0.09,0.95,0.56,0.29,895,0.3,5.31,865,0.11
0.37,0.92,0.89,0.21,0.48,0.55,0.6,0.34,0.61,0.71,930,0.3,4.79,871,0.11
0.47,0.7,0.29,0.17,0.68,0.07,0.75,0.46,0.81,0.89,939,0.5,4.28,1047,1.0
0.51,0.62,0.79,0.86,0.19,0.64,0.23,0.63,0.3,0.66,902,0.4,3.58,1045,0.11
0.01,0.84,0.16,0.33,0.0,0.4,0.41,0.3,0.07,0.43,863,0.4,6.3,870,0.11
0.82,0.45,0.64,0.15,0.91,0.29,0.61,0.63,0.66,0.16,754,0.4,4.82,986,0.11
0.99,0.82,0.54,0.78,0.88,0.96,0.25,0.37,0.92,0.39,822,0.4,5.73,1034,1.0
0.57,0.98,0.31,0.17,0.56,0.94,0.03,0.42,0.6,0.45,829,0.4,4.88,1051,0.11
0.52,0.06,0.18,0.46,0.51,0.36,0.74,0.93,0.86,0.92,930,0.5,5.21,836,0.11
0.31,0.34,0.64,0.42,0.84,0.44,0.59,0.67,0.39,0.44,824,0.6,5.26,927,1.0
0.72,0.67,0.44,0.48,0.95,0.96,0.66,0.69,0.55,0.71,874,0.4,4.1,995,1.0
0.72,0.09,0.39,0.73,0.3,0.32,0.32,0.41,0.22,0.77,781,0.6,5.31,924,1.0
0.07,0.8,0.25,0.0,0.8,0.68,0.26,0.52,0.87,0.37,821,0.3,5.86,1045,1.0
0.73,0.0,0.33,0.08,0.84,0.18,0.96,0.91,0.67,0.88,874,0.5,4.47,867,1.0
0.1,0.54,0.45,0.77,0.98,0.49,0.28,0.21,0.45,0.57,886,0.5,6.56,1086,1.0
0.6,0.9,0.37,0.31,0.2,0.55,0.71,0.33,0.01,0.28,704,0.5,4.83,846,0.11
0.78,0.63,0.08,0.41,0.99,0.67,0.7,0.34,0.96,0.96,953,0.6,5.07,876,0.11
0.87,0.15,0.17,0.52,0.15,0.46,0.92,0.57,0.7,0.17,787,0.3,5.38,1032,1.0
0.69,0.0,0.43,0.65,0.99,0.41,0.66,0.35,0.49,0.77,860,0.5,4.12,908,0.11
0.85,0.01,0.59,0.21,0.32,0.36,0.65,0.06,0.1,0.84,818,0.6,6.05,1000,1.0
0.79,0.77,0.04,0.65,0.22,0.1,0.13,0.72,0.95,0.54,970,0.6,4.33,899,0.11
0.41,0.84,0.85,0.87,0.02,0.93,0.51,0.79,0.73,0.17,701,0.6,5.25,935,1.0
0.76,0.39,0.93,0.45,0.73,0.52,0.12,0.39,0.36,0.08,817,0.3,6.13,965,1.0
0.87,0.22,0.08,0.28,0.43,0.82,0.42,0.15,0.73,0.88,882,0.3,4.77,978,0.11
0.13,0.65,0.55,0.67,0.05,0.17,0.19,0.11,0.04,0.37,900,0.4,5.04,925,1.0
0.61,0.12,0.59,0.75,0.71,0.5,0.74,0.13,0.82,0.24,976,0.5,5.25,915,0.11
0.99,0.7,0.73,0.35,0.38,0.85,0.72,0.56,0.56,0.21,742,0.5,3.21,848,0.11
0.98,0.82,0.33,0.06,0.33,0.51,0.26,0.11,0.06,0.72,943,0.5,3.54,866,1.0
0.58,0.39,0.16,0.65,0.83,0.1,0.81,0.31,0.93,0.3,789,0.5,6.66,942,1.0
0.87,0.21,0.67,0.49,0.12,0.28,0.07,0.96,1.0,0.35,835,0.6,3.51,893,0.11
0.6,0.74,0.93,0.09,0.27,0.88,0.3,0.13,0.72,0.56,924,0.4,3.03,1033,0.11
0.9,0.88,0.02,0.3,0.14,0.41,0.82,0.38,0.51,0.37,705,0.5,4.07,926,1.0
0.66,0.44,0.57,0.26,0.96,0.16,0.77,0.95,0.95,0.15,831,0.3,3.88,856,0.11
0.01,0.78,0.13,0.34,0.87,0.78,0.87,0.21,0.68,0.67,797,0.5,4.29,947,0.11
0.48,0.68,0.71,0.21,0.04,0.68,0.35,0.09,0.56,0.3,729,0.5,4.51,804,0.11
0.43,0.83,0.28,0.85,0.64,0.31,0.48,0.51,0.55,0.92,707,0.4,4.02,949,0.11
0.0,0.66,0.21,0.85,0.15,0.54,0.63,0.81,0.29,0.9,761,0.3,3.77,944,1.0
0.62,0.06,0.95,0.49,0.78,0.8,0.43,0.9,0.55,0.98,843,0.6,5.7,1023,0.11
0.6,0.42,0.58,0.86,0.96,0.5,0.61,0.96,0.28,0.31,868,0.4,4.14,849,1.0
0.99,0.74,0.23,0.26,0.57,0.39,0.26,0.59,0.16,0.9,915,0.6,3.89,1027,0.11
0.99,0.53,0.48,0.83,0.23,0.3,0.04,0.77,0.57,0.76,795,0.3,3.6,1064,1.0
0.62,0.46,0.63,0.66,0.7,0.45,0.12,0.03,0.65,0.89,945,0.4,5.88,862,1.0
0.86,0.43,0.98,0.19,0.05,0.93,0.35,0.77,0.19,0.89,920,0.6,3.07,1077,1.0
0.48,0.36,0.53,0.82,0.16,0.57,0.56,0.01,0.03,0.58,849,0.3,3.48,822,1.0
0.34,0.68,0.07,0.98,0.58,0.1,0.97,0.83,0.15,0.18,770,0.6,5.49,863,0.11
0.37,0.87,0.55,0.9,0.31,0.26,0.56,0.13,0.15,0.06,712,0.6,4.81,949,0.11
0.53,0.05,0.08,0.96,0.62,0.77,0.69,0.85,0.76,0.88,733,0.6,3.99,1039,0.11
0.21,0.94,0.85,0.22,0.05,0.3,0.29,0.44,0.17,0.23,823,0.5,4.46,829,0.11
0.42,0.03,0.48,0.89,0.95,0.53,0.53,0.14,0.63,0.64,742,0.6,4.66,932,0.11
0.84,0.27,0.76,0.98,0.13,0.02,0.37,0.53,0.07,0.73,880,0.3,6.99,813,1.0
0.7,0.03,0.56,0.58,0.64,0.05,0.88,0.76,0.6,0.6,948,0.4,4.57,808,1.0
0.97,0.56,0.85,0.44,0.63,0.07,0.95,0.05,0.08,0.3,948,0.4,4.49,974,1.0
0.88,0.77,0.52,0.14,0.52,0.42,0.95,0.6,0.58,0.34,700,0.5,5.19,955,0.11
0.19,0.85,0.25,1.0,0.66,0.07,0.92,0.57,0.95,0.9,937,0.3,4.49,828,0.11
0.68,0.62,0.93,0.88,0.57,0.85,0.19,0.71,0.21,0.9,986,0.4,3.45,894,1.0
0.18,0.98,0.66,0.43,0.49,0.01,0.07,0.89,0.15,0.92,765,0.6,5.77,1089,0.11
0.17,0.15,0.04,0.21,0.88,0.55,0.5,0.44,1.0,0.14,880,0.6,6.24,906,1.0
0.99,0.03,0.0,0.93,0.92,0.9,0.08,0.62,0.82,0.39,813,0.3,3.82,829,0.11
0.19,0.95,0.91,0.7,0.96,0.75,0.78,0.89,0.62,0.32,972,0.3,5.69,896,0.11
0.45,0.2,0.58,0.4,0.38,0.96,0.66,0.69,0.27,0.23,899,0.6,6.47,948,1.0
0.97,0.08,0.77,0.52,0.96,0.54,0.93,0.4,0.99,0.89,757,0.3,6.17,1098,0.11
0.5,0.67,0.8,0.27,0.67,0.48,0.79,0.86,0.9,0.08,971,0.5,3.11,992,1.0
0.94,0.58,0.34,0.54,0.37,0.34,0.05,0.98,0.42,0.56,807,0.5,4.63,911,0.11
0.94,0.21,0.78,0.84,0.42,0.92,0.27,0.23,0.43,0.34,905,0.3,3.85,879,0.11
0.86,0.72,0.15,0.62,0.68,0.99,0.99,0.02,0.88,0.93,903,0.5,5.46,862,1.0
0.49,0.57,0.15,0.18,0.83,0.69,0.3,0.33,0.25,0.53,729,0.4,6.19,864,1.0
0.21,0.86,0.4,0.79,0.38,0.74,0.91,0.7,0.29,0.99,785,0.3,5.97,872,1.0
0.53,0.68,0.9,0.39,0.48,0.38,0.08,0.24,0.87,0.95,941,0.6,6.17,877,0.11
0.05,0.43,0.99,0.15,0.86,0.69,0.28,0.22,0.03,0.94,759,0.5,4.81,1089,0.11
0.65,0.37,0.94,0.47,0.91,0.87,0.59,0.44,0.89,0.99,940,0.3,3.28,983,1.0
0.2,0.41,0.05,0.03,0.85,0.85,0.31,0.81,0.63,0.8,867,0.4,5.07,1012,0.11
0.25,0.56,0.6,0.29,0.65,0.12,0.81,0.58,0.21,0.62,941,0.4,6.74,808,1.0
0.21,0.97,0.02,0.6,0.13,0.62,0.32,0.51,0.05,0.5,830,0.4,4.4,997,1.0
0.49,0.96,0.43,0.61,0.26,0.46,0.84,0.33,0.33,0.97,852,0.3,4.52,918,1.0
0.27,0.58,0.68,0.71,0.26,0.06,0.73,0.51,0.09,0.26,824,0.4,6.4,1048,1.0
0.77,0.44,0.09,0.71,0.07,0.68,0.85,0.08,0.45,0.13,858,0.6,4.44,1041,1.0
0.35,0.45,0.74,0.02,0.76,0.49,0.32,0.44,0.6,0.0,964,0.3,4.24,927,1.0
0.14,0.92,0.65,0.38,0.11,0.53,0.12,0.3,0.97,0.3,844,0.5,4.42,836,0.11
0.71,0.74,0.78,0.01,0.54,0.92,0.28,0.03,0.32,0.41,863,0.4,3.08,1065,1.0
0.59,0.22,0.39,0.18,0.54,0.43,0.8,0.39,0.33,0.51,723,0.5,3.0,907,1.0
0.38,0.41,0.43,0.33,0.81,0.75,0.19,0.53,0.77,0.84,708,0.4,5.01,1025,0.11
0.83,0.97,0.02,0.66,0.19,0.01,0.87,0.15,0.55,0.46,724,0.3,3.57,830,0.11
0.43,0.07,0.17,0.77,0.83,0.58,0.5,0.02,0.44,0.87,769,0.5,4.58,821,0.11
0.16,0.76,0.71,0.39,0.69,0.29,0.42,0.11,0.82,0.6,870,0.4,4.2,1062,0.11
0.13,0.28,0.42,0.78,0.31,0.04,0.53,0.23,0.91,0.17,991,0.5,5.77,846,0.11
0.31,0.36,0.14,0.8,0.23,0.2,0.46,0.86,0.01,0.53,715,0.5,6.32,839,0.11
0.77,0.18,0.17,0.0,0.7,0.77,0.84,0.14,0.01,0.94,911,0.4,3.48,889,0.11
0.57,0.86,0.03,0.69,0.44,0.24,0.18,0.25,0.1,0.31,984,0.6,5.61,854,1.0
0.64,0.13,0.32,0.49,0.67,0.48,0.11,0.17,0.56,0.79,952,0.3,5.45,902,0.11
0.1,0.85,0.69,0.53,0.4,0.92,0.93,0.13,0.59,0.1,711,0.5,5.76,891,0.11
0.75,0.88,0.99,0.86,0.2,0.07,0.49,0.58,0.13,0.37,841,0.5,5.27,1071,0.11
0.77,0.55,0.6,0.06,0.58,0.39,0.05,0.2,0.77,0.64,868,0.3,4.29,928,1.0
0.55,0.18,0.56,0.41,0.43,0.96,0.31,0.34,0.12,0.03,717,0.6,4.31,1020,1.0
0.18,0.24,0.32,0.8,0.59,0.1,0.23,0.76,0.32,0.87,930,0.3,3.48,976,1.0
0.73,0.47,0.07,0.69,0.58,0.57,0.29,0.47,0.88,0.78,981,0.3,4.01,1025,0.11
0.18,0.24,0.55,0.39,0.41,0.5,0.92,0.29,0.6,0.8,968,0.5,6.97,899,1.0
0.26,0.61,0.1,0.99,0.49,0.91,0.97,0.67,0.7,0.67,720,0.4,5.08,1020,1.0
0.15,0.59,0.34,0.02,0.55,0.53,0.33,0.27,0.02,0.35,861,0.4,5.62,811,0.11
0.99,0.26,0.06,0.7,0.05,0.76,0.59,0.2,0.23,0.01,807,0.4,4.07,936,1.0
0.85,0.97,0.41,0.55,0.42,0.34,0.85,0.39,0.49,0.55,809,0.4,5.52,1088,1.0
0.34,0.37,0.81,0.45,0.3,0.81,0.67,0.14,0.58,0.03,959,0.4,6.85,941,1.0
0.49,0.01,0.41,0.05,0.85,0.47,0.11,0.72,0.83,0.6,939,0.3,3.67,990,0.11
0.43,0.37,0.57,0.49,0.97,0.29,0.36,0.49,0.54,0.96,919,0.6,5.25,1077,0.11
0.5,1.0,0.73,0.29,0.52,0.2,0.35,0.43,0.79,0.89,901,0.3,6.52,964,1.0
0.38,0.61,0.26,0.59,0.92,0.32,0.9,0.19,0.29,0.17,772,0.4,5.57,843,0.11
0.11,0.84,0.36,0.08,0.92,0.05,0.96,0.27,0.33,0.87,732,0.5,5.81,817,1.0
0.48,0.74,0.79,0.22,0.77,0.8,0.34,0.85,0.63,0.48,905,0.4,3.81,872,0.11
0.71,0.19,0.44,0.48,0.7,0.76,1.0,0.82,0.86,0.61,913,0.4,5.48,1011,0.11
0.14,0.42,0.36,0.77,0.27,0.81,0.24,0.84,0.12,0.44,801,0.4,6.07,937,1.0
0.12,0.35,0.24,0.96,0.03,0.54,0.27,0.03,0.29,0.49,895,0.4,6.76,890,1.0
0.6,0.32,0.68,0.05,0.6,0.51,0.33,0.75,0.7,0.83,812,0.5,6.87,949,0.11
0.52,0.3,0.44,0.21,0.99,1.0,0.18,0.59,0.91,0.96,845,0.5,3.21,913,0.11
0.39,0.22,0.48,1.0,0.12,1.0,0.34,0.04,0.2,0.33,821,0.3,3.78,856,0.11
0.71,0.5,0.78,0.53,0.06,0.3,0.88,0.44,0.66,0.99,954,0.6,4.33,916,1.0
0.32,0.95,0.14,0.64,0.4,0.67,0.29,0.0,0.58,0.82,775,0.6,6.71,1067,0.11
0.84,0.84,0.49,0.07,0.17,0.66,0.75,0.98,0.07,0.71,710,0.3,4.28,982,1.0
0.47,0.28,0.87,0.15,0.74,0.1,0.65,0.33,0.03,0.68,708,0.5,5.02,1094,0.11
0.11,0.25,0.66,0.06,0.64,0.42,0.54,0.51,0.53,0.6,871,0.6,6.07,979,0.11
0.45,0.27,0.28,0.45,0.49,0.84,0.04,0.99,0.21,0.7,733,0.6,6.23,850,1.0
0.75,0.33,0.1,0.76,0.57,0.21,0.57,0.37,0.19,0.78,996,0.6,3.85,1011,1.0
0.81,0.4,0.04,0.39,0.94,0.5,0.97,0.35,0.28,0.72,862,0.5,3.95,810,0.11
0.38,0.08,0.18,0.53,1.0,0.91,0.08,0.77,0.53,0.99,867,0.5,3.63,924,0.11
0.87,0.35,0.14,0.17,0.98,0.01,0.91,0.81,0.04,0.1,968,0.3,4.82,982,1.0
0.82,0.94,0.11,0.43,0.29,0.87,0.22,0.51,0.21,0.47,997,0.3,5.62,1088,0.11
0.17,0.76,0.32,0.44,0.22,0.55,0.73,0.48,0.1,0.96,851,0.3,4.81,1024,1.0
0.29,0.47,0.92,0.74,0.78,0.69,0.31,0.73,0.86,0.5,872,0.4,3.38,1033,0.11
0.22,0.79,0.96,0.72,0.17,0.06,0.01,0.26,0.49,0.75,984,0.5,4.14,888,1.0
0.36,0.49,0.3,0.01,1.0,0.53,0.3,0.87,0.1,0.78,942,0.3,3.69,1050,1.0
0.47,0.04,0.5,0.31,0.48,0.22,0.1,0.22,0.77,0.42,784,0.4,5.28,1071,1.0
0.5,0.66,0.13,0.86,0.15,0.83,0.79,0.1,0.49,0.75,898,0.5,5.12,911,0.11
0.39,0.26,0.1,0.23,0.47,0.08,0.57,0.31,0.31,0.98,863,0.4,5.06,938,1.0
0.17,0.58,0.28,0.1,0.29,0.51,0.01,0.36,0.64,0.61,987,0.5,3.75,944,0.11
0.09,0.13,0.42,0.69,0.73,0.95,0.76,0.44,0.48,0.5,919,0.3,5.01,802,0.11
0.94,0.26,0.85,0.12,0.66,0.11,0.05,0.62,0.29,0.8,880,0.5,6.79,1012,0.11
0.81,0.5,0.0,0.5,0.99,0.06,0.89,0.33,0.46,0.71,948,0.6,5.99,830,1.0
0.7,0.64,0.77,0.99,0.93,0.09,0.95,0.24,0.83,0.5,959,0.3,5.27,1075,1.0
0.81,0.58,0.33,0.0,0.93,0.4,0.8,0.23,0.29,0.52,961,0.3,6.25,1074,1.0
0.63,0.36,0.4,0.12,0.03,0.53,0.55,0.89,0.19,0.96,770,0.5,6.32,828,1.0
0.36,0.49,0.31,0.49,0.79,0.2,0.67,0.63,0.74,0.54,773,0.3,3.12,1027,0.11
0.65,0.11,0.82,0.57,0.53,0.21,0.06,0.33,0.63,0.3,917,0.3,5.39,961,0.11
0.38,0.8,0.6,0.3,0.5,0.33,0.26,0.57,0.23,0.18,873,0.5,6.98,1054,0.11
0.43,0.96,0.84,0.69,0.6,0.75,0.03,0.56,0.28,0.62,934,0.4,6.2,923,0.11
0.25,0.21,0.8,0.08,0.53,0.89,0.04,0.13,0.62,0.71,704,0.4,6.19,856,0.11
0.78,0.5,0.04,0.24,0.24,0.82,0.19,0.03,0.08,0.58,777,0.6,4.42,983,0.11
0.83,0.0,0.03,0.01,0.15,0.64,0.94,0.77,0.51,0.23,756,0.4,5.59,1064,0.11
0.04,0.26,0.51,0.08,0.84,0.69,0.06,0.92,0.94,0.96,744,0.3,5.52,1023,0.11
0.6,0.68,0.6,0.75,0.85,0.59,0.57,0.63,0.31,0.58,947,0.4,5.49,1086,0.11
0.17,0.35,0.54,0.85,0.31,0.6,0.68,0.1,0.38,0.25,876,0.3,3.52,1066,1.0
0.54,0.29,0.05,0.07,0.95,0.26,0.58,0.6,0.67,0.25,887,0.4,4.81,984,1.0
0.2,0.35,0.53,0.48,0.96,0.01,0.94,0.33,0.06,0.86,933,0.6,6.95,807,1.0
0.42,0.69,0.18,0.38,0.31,0.4,0.04,0.36,0.61,0.36,747,0.4,5.62,930,1.0
0.26,0.82,0.13,0.34,0.36,0.04,0.98,0.42,0.14,0.83,950,0.6,3.39,907,1.0
0.06,0.92,0.42,0.45,0.1,0.23,0.58,0.78,0.03,0.47,917,0.3,4.04,975,1.0
0.16,0.93,0.19,0.43,0.09,0.73,0.72,0.99,0.41,0.91,934,0.3,6.41,958,0.11
0.59,0.81,0.95,0.31,0.6,0.03,0.69,0.29,0.38,0.6,781,0.3,6.44,1056,0.11
0.32,0.83,0.02,0.29,0.95,0.0,0.01,0.67,0.79,0.49,996,0.5,6.22,945,1.0
0.4,0.45,0.41,0.03,0.37,0.17,0.89,0.82,0.31,0.35,751,0.6,3.47,1031,0.11
0.08,0.97,0.17,0.98,0.41,0.28,0.29,0.76,0.55,0.25,701,0.5,3.01,856,1.0
0.68,0.29,0.43,0.14,0.72,0.67,0.07,0.89,0.6,0.28,939,0.6,5.35,849,1.0
0.22,0.84,0.33,0.31,0.6,0.9,0.5,0.56,0.27,0.81,956,0.6,6.02,1048,0.11
0.67,0.49,0.59,0.9,0.2,0.89,0.92,0.26,0.83,0.49,932,0.6,4.43,924,1.0
0.65,0.98,0.8,0.35,0.8,0.21,0.99,0.62,0.79,0.66,925,0.4,5.47,885,1.0
0.35,0.03,0.23,0.84,0.9,0.64,0.96,0.31,0.0,0.54,982,0.5,3.75,1009,0.11
0.1,0.58,0.25,0.34,0.12,0.29,0.41,0.6,0.29,0.18,891,0.3,6.14,909,1.0
0.39,0.15,0.67,0.41,0.25,0.02,0.23,0.35,0.87,0.86,914,0.4,5.83,892,0.11
0.77,0.73,0.83,0.62,0.77,0.27,0.01,0.8,0.42,0.49,909,0.3,6.04,955,1.0
0.01,0.67,0.74,0.49,0.92,0.81,0.44,0.66,0.33,0.09,956,0.6,3.86,1001,0.11
0.79,0.61,0.26,0.26,0.9,0.26,0.36,0.98,0.93,0.45,787,0.3,5.87,1042,1.0
0.2,0.78,0.2,0.37,0.99,0.53,0.75,0.72,0.5,0.76,916,0.6,5.89,969,0.11
0.28,0.87,0.94,0.56,0.42,0.34,0.03,0.71,0.48,0.76,954,0.6,3.65,1054,0.11
0.67,0.86,0.24,0.82,0.67,0.2,0.38,0.48,0.61,0.21,716,0.6,6.4,957,0.11
0.67,0.59,0.68,0.57,0.13,0.05,0.29,0.66,0.59,0.12,927,0.4,3.88,838,1.0
0.14,0.96,0.04,0.38,0.11,0.49,0.32,0.98,0.52,0.46,881,0.6,4.54,840,1.0
0.8,0.78,0.92,0.13,0.75,0.78,0.92,0.83,0.0,0.87,725,0.6,5.79,1057,1.0
0.97,0.37,0.8,0.7,0.04,0.03,0.8,0.25,0.98,0.63,795,0.4,4.95,808,0.11
0.26,0.4,0.01,0.99,0.92,0.73,0.5,0.56,0.51,1.0,895,0.4,5.6,1055,0.11
0.93,0.11,0.04,0.97,0.69,0.72,0.67,0.29,0.54,0.52,728,0.6,4.72,919,1.0
0.34,0.33,0.04,0.47,0.26,0.27,0.1,0.01,0.88,0.4,950,0.6,4.28,1009,1.0
0.29,0.4,0.59,0.59,0.18,0.58,0.38,0.03,0.21,0.31,846,0.4,3.56,907,1.0
0.39,0.1,0.69,0.96,0.83,0.88,0.08,0.48,0.44,0.89,818,0.3,4.81,843,0.11
0.73,0.75,0.95,0.69,0.49,0.61,0.41,0.42,0.06,0.33,816,0.5,5.53,937,0.11
0.08,0.07,0.17,0.84,0.88,0.57,0.63,0.14,0.33,0.26,833,0.6,4.51,934,1.0
0.74,0.86,0.76,0.02,0.78,0.36,0.28,0.67,0.1,0.23,918,0.6,3.28,913,0.11
0.62,0.83,0.85,0.26,0.44,0.76,0.3,0.32,0.95,0.43,976,0.3,6.83,890,0.11
0.13,0.23,0.84,0.29,0.47,0.87,0.29,0.03,0.53,0.48,823,0.5,4.1,881,0.11
0.19,0.87,0.19,0.87,0.45,0.4,0.99,0.21,0.59,0.86,934,0.3,6.45,910,0.11
0.28,0.47,0.6,0.45,0.29,0.13,0.06,0.68,0.76,0.22,903,0.4,5.83,826,1.0
0.56,0.61,0.8,0.86,0.94,0.57,0.38,0.8,0.68,0.34,879,0.4,5.79,853,0.11
0.09,0.67,0.88,0.99,0.27,0.29,0.94,0.35,0.27,0.11,753,0.4,5.22,1098,1.0
0.22,0.59,0.41,0.44,0.1,0.97,0.38,0.9,0.81,0.52,776,0.5,4.17,860,0.11
0.81,0.54,0.56,0.81,0.58,0.1,0.84,0.56,0.09,0.91,847,0.5,5.74,861,1.0
0.98,0.89,0.24,0.2,0.3,0.54,0.48,0.53,0.11,0.86,821,0.5,6.76,993,0.11
0.74,0.89,0.52,0.06,0.56,0.87,0.98,0.86,0.87,0.76,887,0.6,3.18,817,0.11
0.18,0.35,0.75,0.62,0.97,0.48,0.58,0.12,0.3,0.97,957,0.6,5.59,1064,0.11
0.53,0.85,0.71,0.84,0.73,0.26,0.52,0.54,0.33,0.97,846,0.4,5.13,976,0.11
0.27,0.71,0.88,0.98,0.95,0.33,0.51,0.99,0.76,0.79,894,0.5,3.76,818,1.0
0.14,0.33,0.62,0.33,0.27,0.05,0.68,0.2,0.99,0.47,721,0.3,4.95,871,1.0
0.5,0.39,0.21,0.11,0.68,0.43,0.9,0.39,0.26,0.61,936,0.5,6.05,1038,1.0
0.2,0.49,0.67,0.97,0.97,0.41,0.04,0.21,0.63,0.61,867,0.4,3.68,1032,1.0
0.78,0.98,0.48,0.9,0.85,0.87,0.81,0.78,0.53,0.33,925,0.4,6.46,1098,0.11
0.63,0.08,0.78,0.77,0.5,0.11,0.89,0.88,0.44,0.48,916,0.3,3.68,895,0.11
0.23,0.01,0.22,0.33,0.63,0.16,0.05,0.81,0.31,0.69,849,0.5,4.62,1078,0.11
0.49,0.85,0.74,0.67,0.26,0.58,0.68,0.85,0.41,0.05,808,0.4,6.51,808,1.0
0.36,0.39,0.05,0.96,0.57,0.52,0.06,0.47,0.19,0.93,854,0.3,6.82,1043,1.0
0.57,0.5,0.86,0.33,0.45,0.85,0.54,0.35,0.24,0.83,926,0.6,6.6,1014,1.0
0.12,0.56,0.35,0.6,0.05,0.16,0.13,0.76,0.34,0.92,753,0.4,3.91,871,0.11
0.06,0.6,0.03,0.42,0.15,0.8,0.96,0.72,0.86,0.85,943,0.4,3.19,1081,0.11
0.37,0.85,1.0,0.32,0.32,0.69,0.85,0.5,0.59,0.07,783,0.5,3.65,829,1.0
0.37,0.79,0.62,0.61,0.37,0.35,0.01,0.98,0.43,0.88,813,0.5,5.2,907,1.0
0.7,0.16,0.3,0.72,0.14,0.63,0.89,0.6,0.43,0.88,718,0.4,4.08,834,1.0
0.21,0.07,0.44,0.02,0.74,0.07,0.93,0.89,0.77,0.05,925,0.4,6.88,1020,1.0
0.95,0.11,0.36,0.71,0.57,0.21,0.99,0.66,0.88,0.62,967,0.4,4.03,969,0.11
0.14,0.29,0.04,0.11,0.75,0.54,0.11,0.03,0.74,0.99,712,0.4,4.52,903,1.0
0.02,0.39,0.15,0.64,0.54,0.02,0.91,0.24,0.37,0.37,770,0.6,3.81,935,1.0
0.8,0.64,0.45,0.11,0.22,0.79,0.38,0.48,0.78,0.39,786,0.3,6.63,1093,1.0
0.23,0.97,0.21,0.79,0.01,0.86,0.39,0.41,0.13,0.57,855,0.4,6.11,952,0.11
0.23,0.58,0.84,0.1,0.07,0.06,0.37,0.2,0.83,0.6,899,0.5,5.76,1001,1.0
0.98,0.55,0.74,0.91,0.93,0.97,0.11,0.76,0.46,0.09,903,0.6,5.51,972,0.11
0.51,0.11,0.93,0.09,0.48,0.28,0.7,0.61,0.59,0.55,927,0.6,6.82,1072,1.0
0.07,0.56,0.41,0.43,0.75,0.16,0.79,0.96,0.08,0.95,739,0.4,5.2,1087,1.0
0.92,0.58,0.8,0.5,0.07,0.82,0.03,0.63,0.59,0.09,736,0.3,4.94,961,0.11
0.05,0.07,0.12,0.85,0.03,0.79,0.64,0.75,0.08,0.01,878,0.6,4.06,920,0.11
